iter	RMSE
0	7392.019435
1	6983.056156
2	6611.177388
3	6275.410555
4	5964.263111
5	5683.124437
6	5427.355519
7	5195.047201
8	4984.25901
9	4787.733654
10	4612.102627
11	4453.882081
12	4311.31462
13	4190.997758
14	4073.696604
15	3970.739006
16	3876.191141
17	3792.482972
18	3719.784391
19	3655.234358
20	3596.173735
21	3546.698387
22	3499.042439
23	3454.159489
24	3417.520658
25	3385.085855
26	3352.481427
27	3324.844975
28	3299.621173
29	3278.282993
30	3258.796393
31	3238.740335
32	3222.203656
33	3208.410833
34	3190.268671
35	3175.190208
36	3161.360341
37	3150.73338
38	3142.234696
39	3132.767409
40	3124.296567
41	3117.565055
42	3107.823985
43	3101.479699
44	3096.169525
45	3091.707634
46	3082.361637
47	3074.419855
48	3069.689124
49	3064.53121
50	3058.662484
51	3053.193447
52	3049.575068
53	3044.832352
54	3041.241099
55	3038.550268
56	3036.273789
57	3033.088416
58	3030.491797
59	3024.99393
60	3021.064848
61	3017.459245
62	3015.231176
63	3013.175645
64	3010.049127
65	3007.535688
66	3002.511328
67	3000.687013
68	2996.536843
69	2992.424525
70	2989.423058
71	2986.267619
72	2983.552385
73	2979.74416
74	2976.59802
75	2974.366324
76	2971.269362
77	2970.050004
78	2967.164759
79	2964.928489
80	2962.257079
81	2960.009243
82	2957.896573
83	2956.084754
84	2952.590613
85	2950.456888
86	2948.370865
87	2947.319921
88	2943.133475
89	2941.463913
90	2939.462274
91	2938.569327
92	2936.168791
93	2934.790375
94	2933.232295
95	2931.613331
96	2930.086977
97	2927.569335
98	2926.734179
99	2924.210436
100	2922.659439
101	2920.282766
102	2919.219039
103	2916.304135
104	2914.364762
105	2911.834479
106	2911.118326
107	2909.439223
108	2908.27929
109	2906.667404
110	2905.758468
111	2902.180296
112	2899.490195
113	2897.54672
114	2896.419714
115	2895.241352
116	2893.932801
117	2892.325128
118	2890.839268
119	2889.869599
120	2888.735876
121	2887.773763
122	2886.130422
123	2884.794425
124	2883.691668
125	2883.036465
126	2881.126392
127	2878.597627
128	2877.363808
129	2876.128185
130	2875.294485
131	2874.162983
132	2872.84919
133	2871.328721
134	2869.449405
135	2867.65046
136	2866.933006
137	2866.315897
138	2865.370995
139	2864.176899
140	2862.962348
141	2861.521585
142	2860.899272
143	2859.425566
144	2858.46325
145	2857.298371
146	2856.256053
147	2854.26685
148	2853.266486
149	2852.378745
150	2851.609888
151	2851.030387
152	2849.68305
153	2848.96314
154	2847.82733
155	2847.188425
156	2845.463412
157	2844.744526
158	2844.019761
159	2843.470614
160	2842.650744
161	2842.020611
162	2841.412673
163	2840.731029
164	2838.047595
165	2837.347031
166	2836.029253
167	2835.112748
168	2834.527032
169	2833.259945
170	2832.870255
171	2832.100273
172	2831.35962
173	2830.380544
174	2829.245076
175	2828.452803
176	2827.564547
177	2827.130881
178	2825.866626
179	2825.06641
180	2824.037252
181	2823.369706
182	2822.702353
183	2820.308408
184	2819.477477
185	2818.916944
186	2818.571298
187	2817.833295
188	2817.235912
189	2816.231655
190	2815.69916
191	2815.081419
192	2814.487711
193	2813.53557
194	2813.088791
195	2812.440482
196	2811.718405
197	2809.948088
198	2809.265356
199	2808.439074
200	2807.614815
201	2807.143925
202	2806.564162
203	2805.801777
204	2804.242135
205	2803.567748
206	2802.754913
207	2802.075801
208	2801.714514
209	2800.850903
210	2800.414522
211	2799.693258
212	2799.286141
213	2797.870735
214	2797.42183
215	2797.115421
216	2796.633448
217	2796.052724
218	2795.680524
219	2795.054597
220	2794.747477
221	2794.043755
222	2793.613506
223	2793.337148
224	2792.7711
225	2791.72053
226	2790.686596
227	2789.861635
228	2789.06869
229	2788.632209
230	2788.050207
231	2787.528158
232	2787.312186
233	2786.918795
234	2786.682952
235	2786.327742
236	2785.960728
237	2785.599337
238	2785.015279
239	2784.336593
240	2783.813141
241	2783.495965
242	2782.798666
243	2782.525491
244	2781.931114
245	2781.54737
246	2781.27982
247	2780.611161
248	2780.246209
249	2779.948528
250	2779.731937
251	2779.447033
252	2779.065518
253	2778.754931
254	2778.178716
255	2777.770638
256	2777.345315
257	2776.721513
258	2776.416853
259	2775.977339
260	2774.949446
261	2774.30463
262	2774.062115
263	2773.73803
264	2773.231995
265	2772.642754
266	2772.322647
267	2771.802598
268	2771.540381
269	2770.892421
270	2770.549712
271	2770.193063
272	2769.959422
273	2769.650155
274	2769.394487
275	2768.730452
276	2767.728223
277	2766.866483
278	2766.322249
279	2766.127225
280	2765.381855
281	2765.03457
282	2764.512822
283	2764.322272
284	2764.052937
285	2763.749871
286	2763.488408
287	2763.06474
288	2762.645327
289	2762.484328
290	2762.245713
291	2761.952019
292	2761.53517
293	2760.975649
294	2760.582344
295	2760.391222
296	2760.180104
297	2759.869828
298	2759.629894
299	2759.060137
300	2758.284994
301	2757.816324
302	2757.537391
303	2757.34199
304	2756.926522
305	2756.71885
306	2756.413885
307	2756.100357
308	2755.480674
309	2755.232557
310	2754.559223
311	2754.415814
312	2754.265911
313	2753.832101
314	2753.220277
315	2752.915126
316	2752.731261
317	2752.555724
318	2752.422867
319	2752.193073
320	2751.900011
321	2751.452257
322	2751.053629
323	2750.846867
324	2750.693203
325	2749.791251
326	2749.744632
327	2749.569199
328	2749.252112
329	2749.0716
330	2748.7019
331	2748.091804
332	2747.910465
333	2747.637281
334	2747.390781
335	2747.255059
336	2747.06009
337	2746.591305
338	2746.302575
339	2745.941638
340	2745.642391
341	2745.454357
342	2745.192387
343	2744.837379
344	2744.65253
345	2744.265227
346	2744.104011
347	2743.972415
348	2743.795183
349	2743.542551
350	2743.121609
351	2742.935925
352	2742.531444
353	2742.008021
354	2741.671832
355	2741.487149
356	2740.926333
357	2740.555482
358	2739.55275
359	2739.203059
360	2738.991442
361	2738.772056
362	2738.57901
363	2738.397123
364	2738.146136
365	2738.036765
366	2737.805307
367	2737.588123
368	2737.225876
369	2736.742248
370	2736.423159
371	2735.557374
372	2735.423892
373	2735.280175
374	2734.807917
375	2734.577724
376	2734.378468
377	2733.881298
378	2733.539532
379	2733.209441
380	2733.063819
381	2732.767388
382	2732.469762
383	2732.213729
384	2731.92213
385	2731.829412
386	2731.675397
387	2731.525233
388	2731.240985
389	2730.599156
390	2730.468102
391	2730.072328
392	2730.007773
393	2729.823813
394	2729.61164
395	2729.353312
396	2728.785051
397	2728.659999
398	2728.406172
399	2727.901535
400	2727.637298
401	2727.364021
402	2727.184406
403	2727.000889
404	2726.741785
405	2726.62721
406	2726.212368
407	2726.103636
408	2725.73235
409	2725.641574
410	2725.403106
411	2725.164991
412	2725.050971
413	2724.824192
414	2724.661774
415	2724.476231
416	2724.336438
417	2724.048638
418	2723.950311
419	2723.84878
420	2723.683724
421	2723.603416
422	2723.195926
423	2723.121294
424	2722.990756
425	2722.771662
426	2722.537708
427	2722.281633
428	2722.115189
429	2721.907702
430	2721.770032
431	2721.685774
432	2721.210896
433	2721.078721
434	2720.965524
435	2720.906657
436	2720.681695
437	2720.578615
438	2720.356022
439	2720.096542
440	2719.754388
441	2719.594624
442	2719.455799
443	2719.30666
444	2719.233323
445	2719.136332
446	2718.684572
447	2718.596277
448	2718.53896
449	2718.389716
450	2718.240797
451	2718.120275
452	2717.899855
453	2717.686803
454	2717.613564
455	2717.476083
456	2717.295214
457	2717.143164
458	2716.947802
459	2716.881497
460	2716.486399
461	2716.112685
462	2715.93354
463	2715.787739
464	2715.689834
465	2715.57015
466	2715.274738
467	2715.049009
468	2714.894639
469	2714.819803
470	2714.689347
471	2714.608845
472	2714.559457
473	2714.277702
474	2713.967721
475	2713.806377
476	2713.753331
477	2713.566009
478	2713.166611
479	2713.0304
480	2712.741518
481	2712.554354
482	2712.408453
483	2712.206695
484	2712.137131
485	2711.824809
486	2711.662659
487	2711.546673
488	2711.404794
489	2711.091557
490	2710.836262
491	2710.704599
492	2710.541368
493	2710.336197
494	2710.24262
495	2710.105977
496	2709.90726
497	2709.778322
498	2709.627169
499	2709.483915
500	2709.362615
501	2709.169918
502	2709.12475
503	2709.021032
504	2708.921673
505	2708.876645
506	2708.710992
507	2708.435559
508	2708.342664
509	2708.282257
510	2708.158816
511	2708.102846
512	2708.012154
513	2707.899427
514	2707.69881
515	2707.611369
516	2707.491603
517	2707.256977
518	2707.234158
519	2707.142018
520	2707.026062
521	2706.859104
522	2706.670661
523	2706.420519
524	2706.321622
525	2706.128583
526	2705.955641
527	2705.860728
528	2705.734301
529	2705.679463
530	2705.642352
531	2705.561652
532	2705.368602
533	2705.266989
534	2705.159994
535	2705.073092
536	2704.870611
537	2704.699515
538	2704.534265
539	2704.293389
540	2704.223396
541	2704.165785
542	2704.081172
543	2703.98945
544	2703.887982
545	2703.793614
546	2703.718193
547	2703.639179
548	2703.574768
549	2703.254205
550	2703.200243
551	2702.932199
552	2702.70063
553	2702.642906
554	2702.477664
555	2702.423973
556	2702.349257
557	2702.23684
558	2702.143164
559	2702.096829
560	2701.853737
561	2701.802286
562	2701.714759
563	2701.562378
564	2701.428268
565	2701.333686
566	2701.166503
567	2701.002409
568	2700.866844
569	2700.798108
570	2700.566643
571	2700.468451
572	2700.372096
573	2700.277865
574	2700.162755
575	2700.032758
576	2699.944496
577	2699.867918
578	2699.60957
579	2699.548438
580	2699.416329
581	2699.275519
582	2699.074048
583	2698.990676
584	2698.786363
585	2698.655774
586	2698.477378
587	2698.400875
588	2698.3304
589	2698.264015
590	2698.133278
591	2698.052281
592	2697.976571
593	2697.903588
594	2697.574662
595	2697.450985
596	2697.344253
597	2697.141347
598	2696.920555
599	2696.79611
600	2696.703358
601	2696.649065
602	2696.601159
603	2696.528738
604	2696.445235
605	2696.269633
606	2696.17963
607	2696.104943
608	2696.039384
