iter	Passed	Remaining
0	17	17478
1	35	17729
2	51	17095
3	67	16764
4	111	22232
5	154	25666
6	180	25609
7	221	27460
8	235	25882
9	257	25516
10	273	24604
11	289	23865
12	304	23153
13	320	22573
14	342	22481
15	357	21987
16	373	21612
17	390	21320
18	406	21003
19	423	20737
20	439	20495
21	456	20272
22	471	20025
23	491	19968
24	506	19740
25	519	19465
26	534	19277
27	546	18972
28	560	18782
29	582	18839
30	596	18643
31	611	18500
32	627	18374
33	641	18227
34	657	18124
35	672	18017
36	688	17919
37	703	17797
38	718	17710
39	734	17631
40	749	17534
41	768	17518
42	785	17479
43	801	17409
44	817	17341
45	833	17285
46	848	17197
47	865	17166
48	881	17111
49	896	17030
50	910	16940
51	926	16897
52	940	16812
53	956	16754
54	972	16705
55	987	16650
56	1001	16567
57	1018	16538
58	1034	16502
59	1050	16458
60	1065	16394
61	1085	16416
62	1101	16388
63	1118	16352
64	1136	16348
65	1151	16298
66	1167	16260
67	1195	16383
68	1232	16623
69	1260	16745
70	1275	16693
71	1293	16677
72	1308	16621
73	1331	16665
74	1357	16745
75	1373	16701
76	1406	16855
77	1422	16810
78	1446	16860
79	1478	17002
80	1494	16952
81	1515	16969
82	1537	16987
83	1554	16955
84	1574	16947
85	1593	16932
86	1608	16883
87	1622	16811
88	1646	16851
89	1661	16797
90	1678	16763
91	1696	16746
92	1713	16710
93	1727	16652
94	1742	16597
95	1758	16563
96	1774	16518
97	1791	16491
98	1811	16490
99	1830	16472
100	1848	16453
101	1871	16472
102	1890	16461
103	1908	16438
104	1924	16399
105	1942	16381
106	1960	16364
107	1979	16349
108	1994	16300
109	2009	16256
110	2024	16213
111	2040	16177
112	2058	16156
113	2078	16152
114	2100	16164
115	2121	16171
116	2137	16130
117	2152	16089
118	2176	16116
119	2201	16147
120	2221	16140
121	2247	16172
122	2265	16152
123	2285	16143
124	2305	16137
125	2335	16201
126	2353	16180
127	2369	16145
128	2391	16144
129	2417	16180
130	2438	16174
131	2454	16137
132	2469	16098
133	2488	16080
134	2504	16048
135	2520	16013
136	2547	16048
137	2569	16048
138	2584	16011
139	2604	16000
140	2626	16000
141	2651	16023
142	2668	15993
143	2698	16039
144	2715	16012
145	2735	16000
146	2769	16073
147	2788	16051
148	2813	16069
149	2832	16048
150	2848	16015
151	2863	15975
152	2884	15965
153	2901	15941
154	2916	15901
155	2932	15865
156	2946	15821
157	2981	15887
158	2996	15850
159	3024	15876
160	3037	15828
161	3056	15809
162	3073	15783
163	3086	15731
164	3109	15736
165	3123	15695
166	3152	15724
167	3166	15680
168	3180	15639
169	3207	15661
170	3227	15645
171	3241	15605
172	3264	15606
173	3282	15583
174	3299	15553
175	3317	15533
176	3341	15537
177	3369	15562
178	3393	15562
179	3410	15534
180	3429	15516
181	3446	15491
182	3463	15464
183	3480	15437
184	3506	15448
185	3528	15443
186	3548	15425
187	3571	15427
188	3589	15403
189	3623	15449
190	3642	15427
191	3658	15397
192	3675	15368
193	3692	15342
194	3711	15320
195	3736	15325
196	3751	15291
197	3766	15256
198	3790	15257
199	3808	15232
200	3825	15206
201	3843	15182
202	3857	15145
203	3883	15153
204	3899	15121
205	3913	15082
206	3928	15049
207	3943	15015
208	3959	14984
209	3973	14949
210	3988	14915
211	4004	14885
212	4025	14872
213	4040	14841
214	4056	14811
215	4071	14779
216	4086	14743
217	4102	14714
218	4115	14678
219	4130	14646
220	4146	14615
221	4161	14583
222	4175	14549
223	4191	14519
224	4205	14487
225	4220	14453
226	4234	14420
227	4250	14392
228	4266	14363
229	4281	14334
230	4296	14304
231	4312	14275
232	4333	14264
233	4350	14240
234	4365	14211
235	4378	14175
236	4393	14145
237	4406	14107
238	4422	14080
239	4439	14059
240	4453	14025
241	4468	13996
242	4484	13970
243	4499	13940
244	4514	13911
245	4532	13892
246	4547	13862
247	4561	13831
248	4576	13802
249	4591	13774
250	4609	13753
251	4623	13725
252	4636	13690
253	4658	13682
254	4675	13660
255	4691	13634
256	4706	13607
257	4721	13578
258	4736	13549
259	4757	13541
260	4773	13516
261	4788	13486
262	4805	13465
263	4821	13441
264	4835	13412
265	4849	13382
266	4877	13389
267	4893	13365
268	4908	13337
269	4923	13311
270	4938	13283
271	4959	13274
272	4974	13246
273	4989	13220
274	5003	13190
275	5020	13170
276	5040	13155
277	5057	13133
278	5086	13143
279	5101	13118
280	5115	13088
281	5129	13061
282	5147	13040
283	5169	13033
284	5187	13013
285	5201	12986
286	5219	12967
287	5235	12944
288	5252	12922
289	5268	12898
290	5284	12875
291	5300	12850
292	5316	12827
293	5330	12800
294	5346	12777
295	5360	12748
296	5375	12722
297	5393	12705
298	5408	12680
299	5424	12657
300	5439	12631
301	5453	12605
302	5470	12584
303	5486	12561
304	5502	12537
305	5517	12513
306	5532	12488
307	5547	12463
308	5563	12441
309	5578	12417
310	5596	12398
311	5612	12375
312	5633	12364
313	5650	12344
314	5680	12352
315	5697	12332
316	5718	12321
317	5734	12298
318	5751	12277
319	5776	12275
320	5790	12247
321	5805	12225
322	5821	12201
323	5837	12179
324	5851	12153
325	5866	12128
326	5892	12127
327	5910	12109
328	5927	12088
329	5948	12077
330	5967	12061
331	5987	12047
332	6018	12054
333	6035	12034
334	6054	12017
335	6068	11992
336	6084	11970
337	6099	11946
338	6116	11926
339	6133	11906
340	6146	11879
341	6162	11855
342	6179	11837
343	6196	11816
344	6211	11793
345	6231	11778
346	6248	11758
347	6263	11734
348	6289	11731
349	6300	11701
350	6316	11679
351	6343	11678
352	6359	11655
353	6378	11639
354	6394	11617
355	6408	11592
356	6433	11586
357	6456	11579
358	6472	11555
359	6493	11543
360	6508	11519
361	6521	11494
362	6555	11502
363	6570	11480
364	6594	11472
365	6608	11446
366	6623	11424
367	6639	11402
368	6655	11381
369	6671	11358
370	6688	11340
371	6704	11318
372	6724	11304
373	6739	11280
374	6757	11263
375	6774	11243
376	6789	11220
377	6806	11199
378	6820	11176
379	6856	11186
380	6871	11164
381	6886	11141
382	6903	11121
383	6919	11099
384	6933	11075
385	6949	11054
386	6962	11028
387	6978	11007
388	7003	11001
389	7019	10979
390	7035	10957
391	7049	10933
392	7072	10923
393	7087	10901
394	7103	10880
395	7119	10858
396	7134	10836
397	7149	10814
398	7165	10792
399	7180	10771
400	7196	10750
401	7212	10729
402	7225	10704
403	7241	10682
404	7255	10659
405	7270	10637
406	7287	10617
407	7303	10596
408	7317	10573
409	7332	10551
410	7347	10530
411	7363	10508
412	7380	10489
413	7395	10468
414	7410	10446
415	7424	10422
416	7438	10399
417	7454	10378
418	7469	10356
419	7483	10334
420	7503	10319
421	7519	10299
422	7534	10278
423	7550	10256
424	7565	10235
425	7580	10213
426	7597	10194
427	7611	10172
428	7626	10150
429	7642	10130
430	7656	10107
431	7668	10083
432	7683	10061
433	7704	10048
434	7719	10026
435	7744	10018
436	7761	9999
437	7778	9981
438	7794	9960
439	7810	9940
440	7826	9920
441	7841	9899
442	7858	9880
443	7874	9861
444	7889	9839
445	7905	9819
446	7918	9796
447	7932	9773
448	7947	9752
449	7963	9732
450	7978	9712
451	7993	9691
452	8010	9673
453	8027	9654
454	8043	9634
455	8064	9620
456	8083	9604
457	8101	9587
458	8116	9566
459	8139	9555
460	8154	9534
461	8170	9514
462	8186	9494
463	8201	9474
464	8213	9449
465	8226	9426
466	8236	9400
467	8247	9375
468	8260	9351
469	8272	9328
470	8283	9303
471	8294	9278
472	8305	9253
473	8316	9228
474	8326	9203
475	8340	9181
476	8352	9157
477	8363	9133
478	8373	9107
479	8384	9083
480	8395	9058
481	8406	9034
482	8418	9011
483	8427	8984
484	8441	8963
485	8453	8940
486	8464	8916
487	8476	8893
488	8488	8870
489	8502	8849
490	8517	8829
491	8532	8810
492	8554	8797
493	8572	8780
494	8588	8762
495	8605	8744
496	8620	8724
497	8635	8704
498	8650	8685
499	8676	8676
500	8693	8658
501	8707	8638
502	8724	8620
503	8741	8602
504	8756	8582
505	8778	8569
506	8793	8550
507	8806	8528
508	8830	8518
509	8844	8497
510	8861	8479
511	8882	8466
512	8900	8449
513	8919	8433
514	8934	8414
515	8952	8397
516	8980	8389
517	8995	8370
518	9010	8350
519	9028	8334
520	9045	8316
521	9059	8295
522	9078	8279
523	9092	8259
524	9110	8243
525	9125	8223
526	9140	8203
527	9155	8184
