VIN,Price,manufacturer,security_codes,model,engine,check_digit,model_year,plant_code,serial_number
2FMDK3JC4BBA41556,12500,2FM,D,K3J,C,4,B,B,A41556
3FA6P0H75ER208976,14500,3FA,6,P0H,7,5,E,R,208976
3FAHP08Z17R268380,1300,3FA,H,P08,Z,1,7,R,268380
1FMCU0GX3DUC59421,15200,1FM,C,U0G,X,3,D,U,C59421
1FAHP2E89DG119368,11600,1FA,H,P2E,8,9,D,G,119368
1FM5K8D82DGA16143,26400,1FM,5,K8D,8,2,D,G,A16143
1FTFW1CFXCFC23663,14000,1FT,F,W1C,F,X,C,F,C23663
2FMDK3JC6CBA90002,19500,2FM,D,K3J,C,6,C,B,A90002
1FTFW1CT8DKD06233,24400,1FT,F,W1C,T,8,D,K,D06233
1FMZU64W13UC28949,2900,1FM,Z,U64,W,1,3,U,C28949
2FMDK3JC9DBB30736,23500,2FM,D,K3J,C,9,D,B,B30736
1FMCU9D76CKC49193,12700,1FM,C,U9D,7,6,C,K,C49193
1FMCU9EG2CKA90624,20700,1FM,C,U9E,G,2,C,K,A90624
1FMCU0JX7EUA28208,21300,1FM,C,U0J,X,7,E,U,A28208
2FMGK5D85EBD31213,26700,2FM,G,K5D,8,5,E,B,D31213
2FMDK4KC6EBA72011,25100,2FM,D,K4K,C,6,E,B,A72011
1FTFX1EF2EKE24350,26700,1FT,F,X1E,F,2,E,K,E24350
1ZVBP8EM0D5237253,11600,1ZV,B,P8E,M,0,D,5,237253
1FDNE1BW5BDA64735,13200,1FD,N,E1B,W,5,B,D,A64735
3FA6P0H7XDR195494,11100,3FA,6,P0H,7,X,D,R,195494
1FAHP2KT4CG139177,17300,1FA,H,P2K,T,4,C,G,139177
1FMJK1J56EEF49240,36300,1FM,J,K1J,5,6,E,E,F49240
1FAHP2DW7AG112768,8200,1FA,H,P2D,W,7,A,G,112768
1FAHP26185G158164,3800,1FA,H,P26,1,8,5,G,158164
1FTPX12584NB89868,2800,1FT,P,X12,5,8,4,N,B89868
1FMCU9G90DUB02595,14400,1FM,C,U9G,9,0,D,U,B02595
3FAHP0HG8BR214825,8100,3FA,H,P0H,G,8,B,R,214825
1ZVFT82H255209881,8000,1ZV,F,T82,H,2,5,5,209881
1FTMF1CM2DKD84474,13200,1FT,M,F1C,M,2,D,K,D84474
1FMCU9G98DUC73580,17600,1FM,C,U9G,9,8,D,U,C73580
3FAHP0HA8BR154833,9900,3FA,H,P0H,A,8,B,R,154833
1FTNE2EW3EDA30898,19600,1FT,N,E2E,W,3,E,D,A30898
1FTNF1CF3EKD47747,19000,1FT,N,F1C,F,3,E,K,D47747
1FM5K8D85DGA21918,18501,1FM,5,K8D,8,5,D,G,A21918
3FAHP0GA0AR351740,7200,3FA,H,P0G,A,0,A,R,351740
1FMCU0D76CKA12182,14700,1FM,C,U0D,7,6,C,K,A12182
1FADP3F23EL151448,10100,1FA,D,P3F,2,3,E,L,151448
1FAHP3FN2AW295660,6800,1FA,H,P3F,N,2,A,W,295660
1FTRW14849FA35954,17900,1FT,R,W14,8,4,9,F,A35954
3FA6P0RU1ER262506,20800,3FA,6,P0R,U,1,E,R,262506
1FMEU31E28UA14956,12800,1FM,E,U31,E,2,8,U,A14956
3FA6P0HR9DR172077,14400,3FA,6,P0H,R,9,D,R,172077
1FTNF20L9XED18612,1050,1FT,N,F20,L,9,X,E,D18612
1FADP3K22EL400943,6000,1FA,D,P3K,2,2,E,L,400943
2FMDK3GC4DBB82251,20100,2FM,D,K3G,C,4,D,B,B82251
2FMDK3JC9ABA19969,10500,2FM,D,K3J,C,9,A,B,A19969
1FMFU15557LA36604,8200,1FM,F,U15,5,5,7,L,A36604
3FA6P0H74DR215741,14500,3FA,6,P0H,7,4,D,R,215741
3FAHP0HA5BR191340,7600,3FA,H,P0H,A,5,B,R,191340
1FMPU17566LA88324,3600,1FM,P,U17,5,6,6,L,A88324
3FA6P0LU1ER222080,20200,3FA,6,P0L,U,1,E,R,222080
1FMCU9J98EUA87077,20200,1FM,C,U9J,9,8,E,U,A87077
1FMCU0F71DUC02040,15100,1FM,C,U0F,7,1,D,U,C02040
3FAHP0JG5BR264155,9500,3FA,H,P0J,G,5,B,R,264155
1FTFW1CT7BKE18082,24500,1FT,F,W1C,T,7,B,K,E18082
1FMCU0G93DUD39318,16250,1FM,C,U0G,9,3,D,U,D39318
3FAHP0HA2CR195797,9700,3FA,H,P0H,A,2,C,R,195797
1FTSW21P46EC41702,14500,1FT,S,W21,P,4,6,E,C41702
1FTFW1EF8DFB68158,24000,1FT,F,W1E,F,8,D,F,B68158
1FM5K8GT2DGC24250,34500,1FM,5,K8G,T,2,D,G,C24250
1FTRW12518FA52797,13500,1FT,R,W12,5,1,8,F,A52797
1FTKR1ADXAPA63699,7700,1FT,K,R1A,D,X,A,P,A63699
3FADP4EJ2EM103243,9500,3FA,D,P4E,J,2,E,M,103243
1FTRF12W94NA62213,4300,1FT,R,F12,W,9,4,N,A62213
3FA6P0H70ER138027,13200,3FA,6,P0H,7,0,E,R,138027
1FTNE2EWXEDA63624,18500,1FT,N,E2E,W,X,E,D,A63624
1FMZU73K25UC01721,3100,1FM,Z,U73,K,2,5,U,C01721
1FTFW1ET2DFA02899,28000,1FT,F,W1E,T,2,D,F,A02899
2FMDK4JC6DBC61998,21800,2FM,D,K4J,C,6,D,B,C61998
1FADP3F29DL219539,10500,1FA,D,P3F,2,9,D,L,219539
1FTFW1EF0CFC22180,22300,1FT,F,W1E,F,0,C,F,C22180
3FAHP0JA2CR181375,15100,3FA,H,P0J,A,2,C,R,181375
3FAHP0JA5CR303128,10100,3FA,H,P0J,A,5,C,R,303128
1FMCU0DGXCKB05416,9800,1FM,C,U0D,G,X,C,K,B05416
2FMDK4KC5BBB66571,21500,2FM,D,K4K,C,5,B,B,B66571
1FTFW1EFXDKE82062,25800,1FT,F,W1E,F,X,D,K,E82062
1FTFW1ET4BFC23448,25800,1FT,F,W1E,T,4,B,F,C23448
1FAFP53235A178881,1900,1FA,F,P53,2,3,5,A,178881
1ZVBP8EM4E5243705,15400,1ZV,B,P8E,M,4,E,5,243705
1FTNE2EW3EDA17469,22200,1FT,N,E2E,W,3,E,D,A17469
2FMDK3JC9DBB59265,18200,2FM,D,K3J,C,9,D,B,B59265
